delivery_id,order_id,delivery_status,delivery_time,rider_id
201,1,Delivered,03:08:51,1044
202,2,On the way,22:29:10,1018
203,3,Delivered,15:39:17,1123
204,4,Delivered,01:35:20,1150
205,5,Delivered,14:53:48,1040
206,8,Delivered,09:39:53,1116
207,9,Delivered,10:49:41,1142
208,10,Delivered,02:27:55,1150
209,11,Delivered,19:44:37,1138
210,14,On the way,18:16:25,1111
211,15,Delivered,05:39:37,1055
212,16,Delivered,19:28:24,1135
213,17,Delivered,17:36:13,1055
214,18,Delivered,14:47:43,1135
215,19,Delivered,00:33:30,1034
216,20,Delivered,16:44:30,1071
217,21,Delivered,17:45:10,1134
218,22,Delivered,13:10:17,1074
219,23,Delivered,07:51:45,1038
220,24,Delivered,15:14:15,1124
221,26,Delivered,00:22:18,1128
222,27,Delivered,03:15:19,1060
223,28,Delivered,11:27:14,1040
224,30,Delivered,08:50:05,1107
225,31,Delivered,13:03:53,1054
226,32,Delivered,02:16:55,1022
227,33,Delivered,13:27:03,1086
228,34,On the way,19:12:08,1116
229,35,Delivered,22:49:21,1099
230,36,Delivered,07:09:53,1103
231,37,Delivered,09:26:15,1045
232,38,Delivered,14:02:08,1067
233,39,Delivered,15:55:45,1062
234,40,Delivered,11:19:30,1148
235,43,Delivered,09:02:26,1021
236,44,Delivered,15:43:06,1142
237,46,Delivered,12:44:10,1075
238,47,Delivered,14:29:14,1047
239,49,Delivered,04:39:22,1112
240,51,Delivered,10:16:12,1060
241,52,Delivered,19:06:46,1138
242,54,Delivered,04:22:35,1100
243,55,Delivered,03:39:36,1007
244,56,Delivered,18:51:25,1131
245,57,On the way,04:41:31,1063
246,58,Delivered,09:29:41,1100
247,59,Delivered,04:42:29,1054
248,60,Delivered,09:00:03,1035
249,61,Delivered,19:53:26,1057
250,62,Delivered,03:13:21,1037
251,63,Delivered,22:21:27,1018
252,64,Delivered,03:34:03,1026
253,66,Delivered,23:38:22,1015
254,67,Delivered,03:31:22,1124
255,68,Delivered,14:07:25,1061
256,69,Delivered,02:30:10,1043
257,71,Delivered,05:05:53,1077
258,72,On the way,21:59:21,1060
259,73,Delivered,22:20:38,1085
260,74,Delivered,00:55:49,1108
261,75,Delivered,11:24:11,1057
262,76,Delivered,16:11:43,1079
263,77,Delivered,16:13:30,1018
264,78,Delivered,02:43:38,1067
265,79,Delivered,10:30:45,1016
266,80,On the way,18:48:49,1032
267,81,Delivered,15:01:35,1112
268,82,Delivered,23:09:19,1082
269,84,Delivered,17:45:30,1138
270,85,Delivered,14:55:16,1119
271,86,Delivered,07:40:24,1112
272,88,Delivered,04:25:01,1049
273,89,Delivered,18:04:41,1034
274,91,Delivered,01:42:12,1039
275,92,Delivered,14:32:51,1099
276,93,Delivered,13:23:10,1053
277,94,Delivered,17:55:38,1089
278,96,Delivered,07:01:04,1077
279,97,Delivered,18:55:36,1033
280,98,Delivered,21:16:03,1133
281,99,Delivered,21:17:18,1063
282,100,Delivered,02:09:06,1117
283,101,Delivered,19:23:22,1067
284,102,Delivered,21:31:37,1037
285,103,Delivered,18:04:37,1109
286,104,Delivered,07:59:50,1072
287,105,Delivered,19:35:30,1024
288,106,Delivered,21:32:38,1036
289,107,Delivered,17:07:24,1100
290,109,On the way,13:10:50,1002
291,110,Delivered,18:52:22,1113
292,111,Delivered,18:26:48,1069
293,112,Delivered,02:52:06,1123
294,113,Delivered,08:19:44,1035
295,114,Delivered,17:01:17,1008
296,115,Delivered,08:33:49,1001
297,116,Delivered,19:21:44,1075
298,117,On the way,01:45:18,1129
299,118,Delivered,08:03:56,1062
300,119,Delivered,00:00:15,1017
301,120,Delivered,17:26:53,1097
302,121,Delivered,00:36:25,1071
303,123,Delivered,23:02:51,1022
304,124,Delivered,20:38:20,1087
305,125,Delivered,15:59:58,1150
306,126,Delivered,00:57:28,1106
307,127,Delivered,13:14:36,1080
308,128,Delivered,09:04:55,1041
309,130,Delivered,16:05:20,1004
310,131,Delivered,10:40:40,1019
311,132,Delivered,18:03:49,1140
312,133,Delivered,07:49:33,1019
313,134,Delivered,23:36:48,1137
314,135,Delivered,05:09:58,1050
315,136,Delivered,16:58:28,1082
316,137,Delivered,17:26:16,1092
